Station_ID_C,PRE_12h
52855,0
52862,0
52866,0
52869,0
X0001,999999
X0002,999999
X0003,999999
X0004,999999
X0005,999999
X0006,999999
X0007,999999
X0008,999999
X0009,999999
X0010,999999
X0011,999999
X0012,999999
X0013,999999
X0014,999999
X0015,999999
X0016,999999
X0017,999999
X0018,999999
X0020,999999
X0021,999999
X0022,999999
X0023,999999
X0024,999999
X0025,999999
X0026,999999
X0027,999999
X0028,999999
X0029,999999
X0030,999999
X0031,999999
X0032,999999
X0034,999999
X0035,999999
X0036,999999
X0037,999999
X0038,999999
X0040,999999
X0041,999999
X0042,999999
X0043,999999
X0044,999999
X0045,999999
X0046,999999
X0047,999999
X0048,999999
X0049,999999
X0050,999999
X0051,999999
X0052,999999
X0053,999999
X0054,999999
X0055,999999
X0056,999999
X0057,999999
X0058,999999
X0059,999999
X0060,999999
X0061,999999
X0065,999999
X0095,999999
X0098,999999
X0099,999999
X0100,999999
X9010,999999
X9011,999999
